"","width","SRR1532959","SRR1532960","SRR1532961","SRR1532962","SRR1532963","SRR1532964"
"WBGene00000067",1270,37,45,10,5,4,61
"WBGene00000068",4234,6,0,56,13,37,71
"WBGene00000069",3313,0,0,0,7,0,5
"WBGene00000070",4040,0,4,15,2,6,8
"WBGene00000071",3265,14,0,19,2,29,25
"WBGene00000072",2620,0,1,0,0,1,8
"WBGene00000073",1951,2747,927,4259,2418,6002,4084
"WBGene00000074",3262,2266,495,1885,1026,2900,2377
"WBGene00000075",2522,3890,1290,5179,2905,6696,5030
"WBGene00000079",3181,1149,228,1593,1163,2533,2297
"WBGene00000080",1622,7648,3744,9345,6097,15662,13491
"WBGene00000081",1879,22,0,1,10,0,82
"WBGene00000082",4802,0,0,0,0,0,0
"WBGene00000083",4530,0,0,0,0,0,1
"WBGene00000084",3286,0,0,1,1,0,4
"WBGene00000085",1220,0,0,0,0,0,7
"WBGene00000086",4909,22,0,6,0,50,37
"WBGene00000088",1798,8,5,13,5,18,11
"WBGene00000089",972,0,0,5,7,1,1
"WBGene00000090",3929,9691,1931,8475,2885,13829,7082
"WBGene00000092",2620,2210,1238,3064,1756,4554,3806
"WBGene00000093",776,614,867,761,579,1808,1390
"WBGene00000094",1463,2618,1213,3839,2206,7197,6811
"WBGene00000095",1603,2149,1126,2940,1525,4627,3262
"WBGene00000096",1871,0,0,4,3,3,8
"WBGene00000097",1059,1160,1399,1454,976,2576,2066
"WBGene00000098",1338,22505,17810,31393,19609,46280,37087
"WBGene00000099",1191,4766,3225,6503,3743,11702,8509
"WBGene00000100",7842,670,244,919,519,1662,1803
"WBGene00000101",4279,16401,6656,20175,14400,35666,30615
"WBGene00000102",2278,15057,4860,23564,10043,33324,19462
"WBGene00000103",2381,228,150,279,207,630,336
"WBGene00000105",6696,1717,663,2379,1024,3046,2530
"WBGene00000106",4142,7657,4744,4567,2881,6558,5583
"WBGene00000107",1890,5593,3938,6564,5874,14748,13980
"WBGene00000108",1641,0,0,0,0,0,9
"WBGene00000109",2864,190,298,324,447,561,1204
"WBGene00000110",2304,5435,4724,6070,4086,9594,8315
"WBGene00000111",1383,0,0,17,7,10,44
"WBGene00000112",2511,1084,1604,1653,1047,3341,2931
"WBGene00000113",1756,521,227,559,311,1346,938
"WBGene00000114",1771,6548,4877,7081,4892,13724,14081
"WBGene00000115",1966,2032,1767,3500,2205,4685,3361
"WBGene00000116",1654,0,5,5,5,4,48
"WBGene00000117",2213,892,536,1253,844,2545,1887
"WBGene00000118",1621,0,0,34,0,9,4
"WBGene00000120",774,573,728,1024,614,2460,2013
"WBGene00000121",786,22633,18205,26941,16210,59115,45730
"WBGene00000122",1381,9216,9375,15390,9444,29994,22163
"WBGene00000123",6020,10024,7883,12546,7381,23760,19210
"WBGene00000133",1739,0,0,0,0,0,9
"WBGene00000134",1754,0,0,0,0,1,22
"WBGene00000135",2384,30,0,32,6,35,79
"WBGene00000136",2110,0,0,0,0,0,0
"WBGene00000137",2641,3045,1004,3595,2028,6399,4519
"WBGene00000138",2356,0,0,4,7,1,13
"WBGene00000139",1756,3,0,1,1,6,17
"WBGene00000140",25894,75,25,37,6,135,297
"WBGene00000142",1242,7871,4751,10326,6263,17919,12996
"WBGene00000143",2312,5327,1998,9202,5097,16783,11733
"WBGene00000144",737,1133,1585,1739,1181,3541,3180
"WBGene00000145",469,1626,2954,2520,1874,5047,4169
"WBGene00000146",2754,29730,7854,37807,14126,55014,24414
"WBGene00000147",1104,3665,1852,5521,2114,7595,4162
"WBGene00000148",2384,3704,479,3590,1743,5592,3905
"WBGene00000149",2741,76,36,80,75,189,480
"WBGene00000150",1602,98,16,102,118,305,248
"WBGene00000151",1237,2661,1343,4249,2725,8229,7294
"WBGene00000155",2097,19397,11285,23994,14481,38723,30043
"WBGene00000156",3907,10661,3190,13210,7826,18605,15840
"WBGene00000157",564,1614,2027,2657,1642,4613,3357
"WBGene00000158",3020,1655,1231,2027,1553,4819,5034
"WBGene00000159",615,1055,1105,1451,922,3075,2814
"WBGene00000160",3115,2647,2221,2359,2503,4965,5598
"WBGene00000161",3246,3714,845,3968,1428,5635,3446
"WBGene00000162",4129,3891,1640,4255,2230,9982,9220
"WBGene00000163",2945,7659,2737,11955,6942,17041,15389
"WBGene00000164",1413,1648,906,2134,1173,3620,2403
"WBGene00000165",1467,1254,1592,1861,1116,2503,2489
"WBGene00000166",2276,0,0,0,0,0,2
"WBGene00000168",2766,2503,2489,3775,2437,6260,6629
"WBGene00000169",1032,0,1,6,1,6,7
"WBGene00000170",1426,31,32,229,24,400,380
"WBGene00000171",1449,0,0,0,0,0,26
"WBGene00000172",1076,0,1,0,0,1,0
"WBGene00000173",1038,0,0,0,0,0,0
"WBGene00000174",1187,0,0,0,0,0,24
"WBGene00000175",1239,9,1,16,8,48,5
"WBGene00000176",1714,0,0,0,3,0,0
"WBGene00000177",982,48,34,24,7,91,63
"WBGene00000178",983,1062,1214,1832,1096,2845,2480
"WBGene00000179",900,107,262,229,115,499,282
"WBGene00000180",1710,337,177,656,334,907,816
"WBGene00000181",936,4942,7307,6095,3967,11705,10267
"WBGene00000182",1308,15121,14096,19577,11817,22260,18522
"WBGene00000183",940,15581,14115,16310,8888,29496,21100
"WBGene00000184",639,127,82,220,156,592,474
"WBGene00000185",1074,0,0,0,0,0,0
"WBGene00000186",3580,2409,817,2280,1340,4457,3269
"WBGene00000187",976,1352,1063,2408,1209,3465,2788
"WBGene00000188",1586,1,0,1,0,4,3
"WBGene00000189",706,825,788,1079,792,2408,1865
"WBGene00000190",730,0,0,3,1,3,1
"WBGene00000191",525,0,0,4,0,0,2
"WBGene00000192",984,10033,9542,14330,9491,23154,19556
"WBGene00000193",1417,0,0,0,0,0,0
"WBGene00000195",1530,2445,2130,3359,2224,5346,4821
"WBGene00000196",2983,243,125,212,333,793,1035
"WBGene00000197",3126,23347,15711,23956,15104,36707,32608
"WBGene00000198",1059,10042,8709,12812,6599,21846,14827
"WBGene00000199",1598,3313,2514,3343,2791,6739,6735
"WBGene00000200",1506,6823,5648,7056,4518,10876,8861
"WBGene00000201",1401,5295,5751,6403,4384,12501,10720
"WBGene00000202",1764,1256,1294,1903,1224,3742,2998
"WBGene00000203",693,1945,3137,3358,2491,6969,6914
"WBGene00000204",756,1704,3068,1786,1819,4251,4928
"WBGene00000205",640,2043,3081,3343,1978,6433,5352
"WBGene00000206",1026,11824,14248,13723,10268,31251,26757
"WBGene00000207",1181,2491,2375,2645,1717,4472,4736
"WBGene00000208",1339,1613,1260,2352,1664,4636,3131
"WBGene00000209",476,5053,9256,7130,4619,15161,11850
"WBGene00000210",497,1925,3117,3083,1922,5346,4873
"WBGene00000211",1790,221,219,427,221,754,628
"WBGene00000212",1933,0,0,0,0,0,0
"WBGene00000213",1912,0,4,0,0,0,0
"WBGene00000214",1191,30,16,3,1,0,0
"WBGene00000215",1381,26,22,31,21,38,46
"WBGene00000216",1462,16,16,6,0,0,0
"WBGene00000217",1460,9,36,91,5,1,166
"WBGene00000218",1240,7,24,0,2,0,0
"WBGene00000219",1275,3,18,0,0,0,0
"WBGene00000220",1408,8,0,14,7,3,82
"WBGene00000221",1087,0,0,20,2,13,120
"WBGene00000222",2402,1095,342,1918,873,2720,1707
"WBGene00000223",2714,4818,6034,4682,5435,10396,14559
"WBGene00000224",1965,155,119,225,134,274,266
"WBGene00000225",2230,1289,658,1018,723,1844,1591
"WBGene00000226",7769,2575,750,3152,1706,5667,4119
"WBGene00000227",7581,1444,406,2028,1272,2957,2142
"WBGene00000228",3253,424,137,292,210,497,205
"WBGene00000229",1929,119324,120291,151693,118959,224969,217733
"WBGene00000230",1033,16042,21143,24308,16743,41503,36437
"WBGene00000231",3860,5074,3691,2332,1493,4713,4482
"WBGene00000232",2702,60,0,49,0,39,100
"WBGene00000233",2372,24,53,51,49,160,104
"WBGene00000235",540,5555,8792,9740,6765,16651,15862
"WBGene00000236",717,2389,2511,3201,2111,8347,6414
"WBGene00000237",3441,125,78,204,150,349,273
"WBGene00000238",2592,0,25,0,0,0,7
"WBGene00000239",1644,7,9,0,0,0,16
"WBGene00000240",1708,0,1,4,0,0,0
"WBGene00000241",1984,0,0,0,0,0,0
"WBGene00000242",2330,0,0,2,0,7,6
"WBGene00000244",1719,0,2,0,0,1,0
"WBGene00000245",1085,445,455,765,518,873,887
"WBGene00000246",2056,0,0,0,0,3,5
"WBGene00000247",1335,554,775,844,757,1421,1711
"WBGene00000248",2065,558,432,762,317,2926,2496
"WBGene00000249",673,2469,3002,3993,2567,6850,5439
"WBGene00000250",1044,2425,1602,2704,1789,5637,5271
"WBGene00000251",3010,0,2,4,5,3,10
"WBGene00000252",994,1,0,1,0,0,2
"WBGene00000253",5185,143,66,313,200,410,336
"WBGene00000254",7570,18501,9284,19188,12401,27630,23229
"WBGene00000255",747,311,354,479,289,939,626
"WBGene00000256",996,2,0,0,0,0,0
"WBGene00000257",3097,4747,2577,6783,5307,11568,9805
"WBGene00000259",3844,131,192,235,414,469,1181
"WBGene00000262",870,459,397,924,538,1522,1242
"WBGene00000263",461,6112,10190,8437,6099,15201,13270
"WBGene00000264",1976,1123,465,2025,1428,3715,3260
"WBGene00000265",2186,3208,1433,5105,3472,7702,6297
"WBGene00000266",1796,52,36,26,29,93,56
"WBGene00000267",1342,9,0,3,3,2,19
"WBGene00000268",2208,5170,3285,7613,5158,10155,9191
"WBGene00000269",1479,1057,930,1301,1107,2330,2291
"WBGene00000270",1070,1251,1176,1931,1245,4018,2403
"WBGene00000271",2618,6563,2065,10086,6360,14067,10995
"WBGene00000272",1142,0,0,0,0,1,0
"WBGene00000273",1804,36,0,26,13,100,407
"WBGene00000274",5229,1901,1036,2197,1509,5105,4267
"WBGene00000275",3062,11301,5799,14721,8402,26236,16542
"WBGene00000276",1563,3212,2791,4124,2875,7017,7314
"WBGene00000277",2012,0,0,13,1,26,529
"WBGene00000279",1112,60,48,74,67,133,92
"WBGene00000280",1198,7,0,3,3,4,15
"WBGene00000281",1080,0,0,0,2,0,19
"WBGene00000282",1135,13,0,5,0,5,27
"WBGene00000283",1091,0,0,0,0,17,0
"WBGene00000284",1438,2,0,4,0,3,19
"WBGene00000285",871,0,0,0,0,8,21
"WBGene00000286",756,0,0,0,1,11,42
"WBGene00000287",901,0,0,0,0,0,13
"WBGene00000288",1643,0,0,0,0,0,31
"WBGene00000289",3321,10524,4750,12053,7116,16426,14044
"WBGene00000292",1131,9708,6389,15353,7866,22302,14556
"WBGene00000293",1260,8205,6099,10902,7261,18737,16111
"WBGene00000294",4723,4134,3065,4459,3247,8209,6580
"WBGene00000295",2008,0,0,0,0,0,0
"WBGene00000296",2434,1,0,6,0,0,39
"WBGene00000298",913,42,82,77,94,151,212
"WBGene00000301",925,3011,3180,6425,2806,7203,6193
"WBGene00000302",1233,9,0,3,0,1,7
"WBGene00000308",84,0,0,0,0,0,0
"WBGene00000310",82,0,0,0,0,0,0
"WBGene00000311",82,0,0,0,0,0,0
"WBGene00000366",7132,5751,2495,8247,4145,14183,12370
"WBGene00000367",6419,19,0,15,9,56,89
"WBGene00000368",2089,249,202,396,213,846,676
"WBGene00000369",1311,8193,9207,6106,4069,12495,10420
"WBGene00000370",1066,0,3,0,0,0,140
"WBGene00000371",826,5914,9619,8355,6073,17607,16199
"WBGene00000372",1623,0,0,0,0,0,0
"WBGene00000373",1561,0,0,0,0,0,4
"WBGene00000374",1389,4,12,6,4,4,20
"WBGene00000375",1551,1579,809,3018,1589,4415,2617
"WBGene00000376",4509,6672,4269,8849,5965,11797,11900
"WBGene00000377",1868,33248,28596,41596,28098,66642,57068
"WBGene00000378",1926,27801,22136,35465,22690,60562,46730
"WBGene00000379",1854,20432,16305,32316,22978,49293,45764
"WBGene00000380",1931,31687,29429,34137,25231,58056,53502
"WBGene00000381",1912,16926,19328,21958,18043,40741,39341
"WBGene00000382",1754,4992,3067,7158,4781,11923,10369
"WBGene00000383",3465,8555,5065,14141,10600,21916,22682
"WBGene00000386",2261,14725,10821,18169,13262,27101,23295
"WBGene00000387",2124,1787,1358,2708,1183,4202,2831
"WBGene00000388",1138,9159,2225,11208,2680,20131,6653
"WBGene00000389",953,0,0,2,0,0,1
"WBGene00000390",1346,7814,7502,10317,7272,17684,16791
"WBGene00000391",903,0,0,0,0,0,2
"WBGene00000392",635,2943,5794,4796,3440,7607,7119
"WBGene00000393",2369,1518,1292,2028,1616,2487,3006
"WBGene00000395",10252,515,150,642,395,1062,1092
"WBGene00000396",13422,10084,2898,13660,8457,18506,14113
"WBGene00000397",4966,100,8,45,51,73,90
"WBGene00000399",4424,13,0,1,6,15,0
"WBGene00000401",2219,0,0,0,0,9,0
"WBGene00000402",5402,6,0,15,7,13,0
"WBGene00000403",3633,1026,708,1168,566,1627,2021
"WBGene00000405",1185,26393,20638,39215,24701,63764,47625
"WBGene00000406",1231,1680,1555,2755,1580,3878,3079
"WBGene00000407",1057,3737,4482,3983,2761,8321,7412
"WBGene00000408",1370,3472,2731,4255,2724,8412,6195
"WBGene00000409",2010,4819,2747,7549,5910,12861,13845
"WBGene00000410",1662,2305,2111,2547,1467,4755,4202
"WBGene00000411",1600,16887,9635,17944,10035,27906,20646
"WBGene00000412",948,0,0,0,0,0,0
"WBGene00000413",2651,999,477,1100,690,3139,1915
"WBGene00000414",1240,397,644,781,942,1714,2723
"WBGene00000415",4875,1917,1253,1825,1262,3846,4003
"WBGene00000416",1094,4975,5158,5057,3200,10500,7871
"WBGene00000417",2552,1915,1173,1596,968,2827,2409
"WBGene00000418",1932,3724,2818,6165,4341,8495,8030
"WBGene00000419",5644,4791,2524,6024,4925,11216,13390
"WBGene00000420",1689,3867,3701,5726,4949,9765,11104
"WBGene00000421",5702,10641,2362,13546,8968,21126,17264
"WBGene00000422",1581,760,435,1302,750,1600,1224
"WBGene00000423",1285,1021,1508,1576,1012,2740,2317
"WBGene00000424",1661,297,242,373,171,558,511
"WBGene00000425",4370,42,0,105,70,81,175
"WBGene00000426",2325,4368,980,5172,3411,8717,8348
"WBGene00000427",412,0,0,0,0,5,0
"WBGene00000428",843,0,0,0,0,0,10
"WBGene00000429",856,0,8,4,0,2,1
"WBGene00000430",600,8,12,11,6,11,26
"WBGene00000431",1795,29,22,68,33,149,84
"WBGene00000432",308,0,0,0,0,0,0
"WBGene00000433",1313,0,0,2,2,2,0
"WBGene00000434",797,0,0,0,0,0,2
"WBGene00000435",1127,11,0,14,20,52,16
"WBGene00000436",604,0,0,0,0,0,0
"WBGene00000437",921,4,0,28,5,1,5
"WBGene00000438",1903,0,0,0,0,0,0
"WBGene00000439",922,39,23,39,17,62,76
"WBGene00000440",914,0,0,0,0,0,0
"WBGene00000441",2543,23,0,0,5,10,28
"WBGene00000442",917,188,60,203,109,453,230
"WBGene00000443",1279,89,170,104,8,83,93
"WBGene00000444",2586,3349,2853,4275,2825,7466,6482
"WBGene00000445",2369,0,0,0,0,0,1
"WBGene00000446",1044,0,0,0,0,0,0
"WBGene00000447",1056,0,0,0,0,13,0
"WBGene00000448",2272,0,2,8,0,9,1
"WBGene00000449",1191,0,0,53,0,0,45
"WBGene00000450",720,0,0,0,0,0,0
"WBGene00000451",1036,0,0,3,0,3,2
"WBGene00000452",1124,0,0,0,0,0,3
"WBGene00000453",1862,0,0,7,0,39,19
"WBGene00000454",880,0,0,0,0,0,0
"WBGene00000455",1110,0,0,0,0,8,67
"WBGene00000457",1167,0,0,78,2,35,0
"WBGene00000458",1489,0,0,22,0,0,0
"WBGene00000459",2873,10780,3617,11748,7650,15918,15636
"WBGene00000460",1834,5455,2301,7213,3259,12987,7348
"WBGene00000461",1181,870,671,1280,793,2068,1736
"WBGene00000462",1386,503,527,705,425,995,1067
"WBGene00000463",1054,16,50,114,55,154,81
"WBGene00000464",5061,4366,1840,6553,3566,11865,10163
"WBGene00000465",1889,100320,86907,109804,81877,246593,240086
"WBGene00000466",2194,3903,1110,6916,4721,9570,9548
"WBGene00000467",3278,4928,3195,6802,5601,12179,12797
"WBGene00000468",990,348,628,609,497,1614,1135
"WBGene00000469",1006,31,15,10,10,37,83
"WBGene00000472",1381,10649,12177,15134,10334,28955,24902
"WBGene00000473",1011,61698,98505,73360,51994,181460,159397
"WBGene00000474",990,36349,56467,56554,35749,116705,85371
"WBGene00000475",1183,22142,22405,28170,17160,62048,48648
"WBGene00000476",2229,377,198,993,477,1866,1009
"WBGene00000477",3881,1,0,0,6,2,7
"WBGene00000478",2075,24,0,23,23,34,141
"WBGene00000479",2273,52426,40737,40234,21620,79168,49680
"WBGene00000480",2140,8989,5002,8683,5936,14511,15381
"WBGene00000481",2073,1,0,21,29,34,53
"WBGene00000482",5561,3552,1524,5786,3369,7741,6077
"WBGene00000483",907,0,0,0,0,0,0
"WBGene00000484",2355,0,0,0,0,0,1
"WBGene00000485",12568,33,0,11,6,49,136
"WBGene00000487",1968,0,0,0,0,8,0
"WBGene00000488",2140,0,0,0,0,7,0
"WBGene00000490",4383,9,0,0,5,0,12
"WBGene00000491",4444,27,0,12,4,22,36
"WBGene00000492",1510,0,1,0,0,0,5
"WBGene00000493",3033,40,9,79,36,73,44
"WBGene00000496",4293,625,1991,552,3211,2137,10997
"WBGene00000497",5870,7,0,5,9,0,14
"WBGene00000498",1683,7237,8596,10796,7358,19854,18174
"WBGene00000499",2532,49,26,60,13,138,112
"WBGene00000500",1133,3618,2641,4251,3040,8549,8005
"WBGene00000501",1967,0,0,0,0,0,42
"WBGene00000502",1192,2361,2059,3659,2553,5756,6017
"WBGene00000503",2041,1708,733,4627,1090,4074,3089
"WBGene00000506",1000,1734,1165,2470,1482,4646,3632
"WBGene00000507",1976,4183,1414,6376,3846,7624,7330
"WBGene00000508",2443,734,196,1211,768,1589,1509
"WBGene00000509",1717,2476,1553,3542,2300,5702,4420
"WBGene00000510",2860,0,1,1,2,12,50
"WBGene00000511",1360,47,29,98,50,169,212
"WBGene00000512",1198,1239,1039,2255,1269,3041,2231
"WBGene00000513",1107,0,0,2,0,0,0
"WBGene00000514",1382,613,210,802,488,1369,993
"WBGene00000515",1490,2,0,8,10,4,0
"WBGene00000516",809,236,364,321,217,482,351
"WBGene00000517",1478,3268,2619,2286,1351,4037,2903
"WBGene00000518",2136,0,0,1,1,31,4
"WBGene00000519",2109,3737,1568,6422,4034,10033,8367
"WBGene00000520",2269,3386,859,5958,3654,10952,8285
"WBGene00000521",2300,0,0,7,10,0,1
"WBGene00000522",832,1,0,0,0,0,0
"WBGene00000523",963,92,63,203,120,366,383
"WBGene00000524",874,7,0,32,35,68,127
"WBGene00000525",669,15,9,41,24,24,23
"WBGene00000526",1205,39,0,85,61,174,219
"WBGene00000527",4378,548,415,1186,878,1824,1783
"WBGene00000528",3338,4,5,19,16,11,62
"WBGene00000529",3207,0,0,19,5,2,1
"WBGene00000530",3956,1896,1285,1283,921,2335,2628
"WBGene00000531",3374,0,0,0,0,0,0
"WBGene00000532",2688,6812,3575,8108,5845,12758,12092
"WBGene00000533",2660,413,65,667,292,1522,868
"WBGene00000534",1485,5799,5987,8900,5464,16908,12033
"WBGene00000535",556,0,1,3,0,0,20
"WBGene00000536",740,580,1010,668,511,1297,1258
"WBGene00000537",2809,1326,1810,2383,3605,3987,6846
"WBGene00000539",1580,0,0,0,0,0,0
"WBGene00000540",1395,922,519,1303,658,2448,1413
"WBGene00000541",1374,0,0,0,0,0,6
"WBGene00000542",3129,7257,5004,7893,5276,10748,10054
"WBGene00000543",2551,2035,628,3172,1648,5028,3696
"WBGene00000544",2378,3,1,5,11,0,21
"WBGene00000545",2306,96,58,189,92,248,359
"WBGene00000546",2069,1,0,0,0,0,0
"WBGene00000547",2499,4835,2954,6792,4985,11203,9118
"WBGene00000548",4948,13063,3150,17444,8302,23346,16033
"WBGene00000549",3345,4951,2529,2918,1247,4744,2549
"WBGene00000550",4405,1271,2412,2162,6860,5646,15043
"WBGene00000551",1677,0,0,0,0,0,0
"WBGene00000552",1484,9475,8577,9620,5932,21558,19174
"WBGene00000553",1742,0,2,6,0,2,1
"WBGene00000554",1170,573,467,672,232,820,621
"WBGene00000555",189,0,0,0,0,0,0
"WBGene00000556",354,0,0,0,0,0,0
"WBGene00000557",443,0,0,0,0,0,0
"WBGene00000558",435,0,0,0,0,0,6
"WBGene00000559",207,0,0,0,0,0,7
"WBGene00000560",462,0,0,0,0,0,52
"WBGene00000561",3318,0,0,62,4,1,9
"WBGene00000562",2881,1,20,67,16,29,31
"WBGene00000563",1959,0,0,0,0,0,0
"WBGene00000564",3142,376,223,295,175,913,847
"WBGene00000565",3154,186,149,55,65,174,111
"WBGene00000566",4270,3916,1991,5063,2008,9396,4562
"WBGene00000567",2141,10057,6856,12721,9754,23390,23834
"WBGene00000583",1633,0,0,0,0,0,0
"WBGene00000584",1192,10,1,5,5,27,51
"WBGene00000585",2205,2209,2238,2979,5092,5424,11192
"WBGene00000591",2929,1051,736,996,619,1664,1330
"WBGene00000592",2121,2703,1910,3489,2589,5820,5654
"WBGene00000593",966,1,0,2,5,15,18
"WBGene00000594",972,0,0,0,0,0,1
"WBGene00000596",1569,0,0,0,0,0,0
"WBGene00000597",921,12,5,7,4,4,0
"WBGene00000598",1020,0,0,0,0,0,1
"WBGene00000599",966,0,0,0,0,0,0
"WBGene00000601",1245,0,0,1,2,0,0
"WBGene00000602",1063,0,0,0,0,0,0
"WBGene00000603",1082,0,0,0,0,2,0
"WBGene00000606",1094,0,0,0,0,0,0
"WBGene00000608",932,6,15,0,0,4,1
"WBGene00000609",994,5,16,0,0,0,0
"WBGene00000610",1011,0,0,0,0,0,0
"WBGene00000611",964,0,0,0,0,0,10
"WBGene00000612",1029,0,0,0,0,0,0
"WBGene00000613",1254,1,0,0,0,0,1
"WBGene00000614",993,0,0,0,0,0,1
"WBGene00000615",926,47,51,42,30,162,68
"WBGene00000616",1037,0,0,0,1,11,6
"WBGene00000617",1054,0,0,0,0,0,0
"WBGene00000618",1380,0,0,2,0,0,0
"WBGene00000620",1081,0,0,0,0,0,0
"WBGene00000621",1020,0,0,0,0,0,0
"WBGene00000622",1133,1,0,1,0,11,2
"WBGene00000623",2791,1,14,1,1,10,6
"WBGene00000624",724,0,0,2,0,1,0
"WBGene00000625",922,0,6,3,0,1,7
"WBGene00000626",912,0,0,0,0,0,0
"WBGene00000627",1356,0,0,0,0,0,3
"WBGene00000628",1269,0,0,0,0,1,3
"WBGene00000629",1052,0,0,0,0,0,0
"WBGene00000630",901,16,1,6,4,27,6
"WBGene00000631",936,0,0,0,1,0,0
"WBGene00000632",465,0,0,0,0,0,0
"WBGene00000633",966,0,0,0,0,0,1
"WBGene00000634",997,0,0,0,0,0,0
"WBGene00000636",1127,0,0,21,6,23,23
"WBGene00000637",986,0,0,0,0,0,0
"WBGene00000638",1023,0,0,0,0,0,0
"WBGene00000639",1221,1,0,2,2,1,0
"WBGene00000640",1360,230,145,435,218,638,481
"WBGene00000641",996,1,0,3,7,0,0
"WBGene00000642",639,0,0,0,0,0,3
"WBGene00000644",1106,23,38,26,13,71,40
"WBGene00000645",1443,3,0,0,0,0,0
"WBGene00000646",1401,0,0,0,0,0,0
"WBGene00000647",1312,10,0,9,0,7,0
"WBGene00000648",921,0,0,3,0,4,1
"WBGene00000649",980,0,0,0,0,0,2
"WBGene00000650",1592,301,100,392,284,433,510
"WBGene00000651",948,0,0,0,0,0,0
"WBGene00000652",1634,10,7,21,20,82,127
"WBGene00000653",1024,0,0,1,0,0,0
"WBGene00000654",1013,0,0,0,0,0,0
"WBGene00000655",905,0,0,0,0,0,0
"WBGene00000656",1040,6,13,6,0,5,0
"WBGene00000657",1025,0,0,0,0,0,0
"WBGene00000658",1106,72,60,111,47,217,158
"WBGene00000659",1052,0,12,3,1,2,0
"WBGene00000660",1037,0,0,0,1,0,0
"WBGene00000661",972,43,8,122,61,229,77
"WBGene00000662",1871,11,3,12,6,19,8
"WBGene00000663",909,13,0,0,0,1,0
"WBGene00000664",987,2,0,1,2,4,5
"WBGene00000665",1131,747,791,839,567,1510,1170
"WBGene00000666",983,0,0,0,0,0,0
"WBGene00000667",1003,0,0,0,0,0,0
"WBGene00000668",1001,4,0,0,0,0,0
"WBGene00000669",1017,0,0,0,0,0,0
"WBGene00000670",1052,1,5,0,0,0,0
"WBGene00000671",1052,2,0,0,0,0,0
"WBGene00000672",1186,19,5,30,10,36,52
"WBGene00000673",1039,1,2,0,1,0,2
"WBGene00000674",2960,137,87,190,100,340,193
"WBGene00000675",1417,0,0,0,1,2,2
"WBGene00000676",1438,0,0,0,0,0,0
